concatParams;mean;std
10_100_False_None_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_45_None_None_None_uniform;27.342898;1301.980119
10_100_False_None_adadelta_mse_150_1_tanh_linear__100000_1_True_False_True_50_None_None_None_uniform;25.685198;1313.123172
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_1_None_None_None_uniform;-71.431346;1763.201714
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_2_None_None_None_uniform;-21.655021;1475.750777
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_3_None_None_None_uniform;1.106624;1358.427644
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_4_None_None_None_uniform;31.173117;1334.884334
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_5_None_None_None_uniform;23.797440;1309.212903
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_6_None_None_None_uniform;18.739725;1288.446561
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_7_None_None_None_uniform;17.175075;1267.992868
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_8_None_None_None_uniform;22.531612;1249.349634
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_9_None_None_None_uniform;29.902532;1252.255435
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_10_None_None_None_uniform;29.008180;1253.731364
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_15_None_None_None_uniform;29.266535;1237.045624
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_20_None_None_None_uniform;26.429281;1231.135467
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_25_None_None_None_uniform;21.887985;1230.631026
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_30_None_None_None_uniform;28.529000;1263.857810
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_35_None_None_None_uniform;20.512665;1271.711552
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_40_None_None_None_uniform;22.561184;1285.484124
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_45_None_None_None_uniform;21.029795;1293.283177
10_100_False_None_adadelta_mse_300_10_tanh_linear__100000_1_True_False_True_50_None_None_None_uniform;25.946448;1310.056918
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_1_None_None_None_uniform;-23.952478;1874.907348
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_2_None_None_None_uniform;-16.184957;1550.809270
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_3_None_None_None_uniform;-35.499141;1444.556857
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_4_None_None_None_uniform;-22.140451;1393.512582
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_5_None_None_None_uniform;-16.871242;1339.049641
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_6_None_None_None_uniform;-18.348963;1300.734835
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_7_None_None_None_uniform;-7.523698;1285.177625
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_8_None_None_None_uniform;-2.869955;1280.548533
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_9_None_None_None_uniform;-1.122568;1271.354872
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_10_None_None_None_uniform;1.278233;1262.261283
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_15_None_None_None_uniform;1.076377;1243.113893
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_20_None_None_None_uniform;6.853540;1252.299102
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_25_None_None_None_uniform;9.024659;1251.714915
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_30_None_None_None_uniform;15.459371;1263.534350
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_35_None_None_None_uniform;12.425934;1279.336885
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_40_None_None_None_uniform;17.934206;1297.626274
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_45_None_None_None_uniform;20.916884;1306.357991
10_100_False_None_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_50_None_None_None_uniform;23.514107;1310.787929
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_1_None_None_None_uniform;-50.299927;1798.559923
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_2_None_None_None_uniform;-9.613833;1490.808564
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_3_None_None_None_uniform;4.375535;1397.081177
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_4_None_None_None_uniform;4.109253;1368.489340
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_5_None_None_None_uniform;-5.059698;1318.584559
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_6_None_None_None_uniform;3.087621;1276.379944
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_7_None_None_None_uniform;7.384047;1264.723924
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_8_None_None_None_uniform;9.270410;1251.384518
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_9_None_None_None_uniform;11.402084;1232.862326
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_10_None_None_None_uniform;19.599909;1232.841583
10_100_False_None_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_15_None_None_None_uniform;18.237080;1226.721772
